latitude,longitude,altitude,geometry,coordinates,@id,access,addr:street,amenity,bicycle,bus,capacity,charge,fee,hgv,motor_vehicle,opening_hours,operator,parking:fee,payment:nfc,socket:type2_combo,socket:type2_combo:output,addr:city,addr:housenumber,addr:postcode,payment:contactless,ref,website,name,operator:wikidata,payment:cards,atmotorway,socket:chademo,socket:chademo:output,brand,brand:wikidata,motorcar,panoramax,socket:type2,source,source:date,source:url,scooter,authentication:app,authentication:membership_card,ref:EU:EVSE,ref:ocm,addr:country,socket:type2:output,amperage,fixme,rwetempcharging_station:plug,source:delivery_date,voltage,authentication:nfc,capacity:charging,covered,level,truck,wheelchair,authentication:none,brand:website,fuel:electricity,internet_access,internet_access:fee,lit,maxheight,phone,payment:app,payment:membership_card,description,payment:credit_cards,maxstay,authentication:phone_call,url,operator:wikipedia,check_date,network,payment:cash,payment:qr_code,atmotorroad,self_service,note,output,socket:chademo:voltage,socket:type2_cable,socket:type2_cable:output,payment:debit_cards,source:website,charging_station:output,image,socket:ccs,socket:ccs:output,name:en,phone:NL,panoramax:0,panoramax:1,panoramax:2,branch,manufacturer,no:network,socket:type2_combo:voltage,short_name,socket:type2_combo:current,description:en,start_date,socket:type2:current,power,authentication:contactless,motorcycle,man_made,brand:wikipedia
52.0795711,4.3342863,,Point,,node/6794660770,yes,Jan Pietersz. Coenstraat,charging_station,,,4,,yes,,,24/7,TotalEnergies,,,2,360kW,'s-Gravenhage,2,2595WP,,,https://store.totalenergies.nl/nl_NL/NN001797,TotalEnergies EV Express Beatrixkwartier,Q154037,,,2,360kW,TotalEnergies Express,Q124610909,yes,,2,TotalEnergies,2024-02-24,,,yes,yes,,,,43 kW,,,,,,,,yes,,,,,,,,,,,+31 70 3180404,,,,no,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0725392,5.0268225,,Point,,node/6818334688,,,charging_station,,,,,yes,,,,Allego,,,6,,,,,,,,,Q75560554,,,3,,,,yes,,6,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.1790978,5.9842677,,Point,,node/6820292833,yes,,charging_station,,,,,yes,,,24/7,Ionity,,,5,350 kW,,,,,,,Ionity Apeldoorn-Zuid,,,,,,Ionity,Q42717773,,,1,,,,,,,,,,22 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ionity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.025998,6.5721611,,Point,,node/6878899859,yes,,charging_station,,,2,,,,,24/7,Vattenfall InCharge,no,,1,63 kW,,,,,,https://www.vattenfall.nl/producten/elektrisch-rijden/openbare-laadpaal/snelladen-mcdonalds/,InCharge,Q71041027,,,1,63 kW,Vattenfall InCharge,Q71041027,yes,,1,,,,,yes,yes,,,,43 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 V,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0145556,5.1222236,,Point,,node/7065857020,,,charging_station,,,2,,,,,24/7,Ionity,,,2,,,,,,,https://www.ionitychargers.com/,Ionity De Knoest,,,yes,,,Ionity,Q42717773,yes,,,,,,,,,,,,350 kW,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0142521,5.1192278,,Point,,node/7065868046,,,charging_station,,,2,,,,,24/7,Ionity,,,2,,,,,,,https://www.ionitychargers.com/,Ionity De Kroon,,,yes,,,Ionity,Q42717773,yes,,,,,,,,,,,,350 kW,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4800684,3.6367916,,Point,,node/7180843818,,,charging_station,,,2,,,,,24/7,Allego,,,1,50 kW,,,,,NLALLEGO000897,,Allego,Q75560554,,,1,50,,,yes,,1,,,,,,,,,,43,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.3800462,5.9855815,,Point,,node/7551665242,yes,,charging_station,,,6,,yes,,,24/7,Ionity,,,6,350 kW,,,,,,,Ionity Sevenum,,,,,,Ionity,Q42717773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ionity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.506327,6.0218222,,Point,,node/7674836531,,Venloseweg,charging_station,,,2,,yes,,,,Allego,,,2,50 kW,Oirlo,,5808PA,,,,Allego Romeinse Put Oost,Q75560554,,yes,2,50kW,,,yes,,2,,,,,yes,yes,,,,43kW,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.9883538,5.7791149,,Point,,node/7681277575,,Mauritslaan,charging_station,,,,,,,,,Allego,,,1,50 kW,Urmond,51,6129EL,,,,,Q75560554,,,1,50 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,43 kW,,,,,,,,,,,,,,,,,,,,,,,,,
52.2062844,4.4172028,,Point,,node/7769613890,,,charging_station,,,2,,,,,,ChargePoint,,,,,,,,,,,ChargePoint,Q5176149,,,,,ChargePoint,Q5176149,yes,,,,,,,,,,,,,16,,,,400,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.202832,4.4173003,,Point,,node/7775254116,,Synthese,charging_station,,,2,,no,,,24/7,Allego,,,,,Katwijk,20,2224RD,,,,ChargePoint,Q75560554,,,,,ChargePoint,Q5176149,,,2,,,,,,,,,,,16,,,,400,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.6303842,4.7549119,,Point,,node/7929666516,yes,,charging_station,,,2,,yes,,,24/7,Pitpoint,,,,,,,,,PP001601B,,,,,,,,,,yes,,2,,,,,,yes,,,,,16,,,,400,,,,,,,,,,,,,,+31 30 410 0887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.632261,4.7427482,,Point,,node/7929666550,,,charging_station,,,2,,yes,,,24/7,Pitpoint,,,,,,,,,,,,,,,,,,,,,2,,,,,,yes,,,,,16,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.6278537,4.7552471,,Point,,node/7929666557,,,charging_station,,,2,,yes,,,24/7,Pitpoint,,,,,,,,,,,,,,,,,,,yes,,2,,,,,,yes,,,,,16,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.6281517,4.746544,,Point,,node/7929666594,,,charging_station,,,2,,yes,,,24/7,Pitpoint,,,,,,,,,,,,,,,,,,,yes,,2,,,,,,yes,,,,,16,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.627716,4.7529476,,Point,,node/7929666643,,,charging_station,,,2,,yes,,,24/7,Pitpoint,,,,,,,,,,,,,,,,,,,yes,,2,,,,,,yes,,,,,16,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.7528689,6.1864997,,Point,,node/8046668188,,Rijksweg A32,charging_station,,,,,yes,,,24/7,Fastned,,,4,300 kW,Nijeveen,1-pomp,7973KT,,50139,,Fastned Bovenboer,Q19935749,,yes,2,50 kW,Fastned,Q19935749,yes,,,https://fastnedcharging.com/nl/locaties,2022-06-07,,,yes,yes,,,,,,,,,,,,,,,,,https://fastnedcharging.com/nl/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.2551075,5.7667479,,Point,,node/8074915715,,Rijksweg A2,charging_station,,,1,,yes,,,,Allego,,,1,50 kW,Weert,,6004RW,,NLALLEGO000925,,Allego Nederweert Noord Meiberg,Q75560554,,yes,1,50kW,,,yes,,1,,,,,yes,yes,,,,43kW,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.2546052,5.7651129,,Point,,node/8165872446,,Rijksweg A2,charging_station,,,1,,yes,,,,Allego,,,1,50 kW,Weert,,6004RW,,NLALLEGO000923,,Allego Nederweert Zuid Roevenpeel,Q75560554,,yes,1,50kW,,,yes,,1,,,,,yes,yes,,,,43kW,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.402359,4.8413659,,Point,,node/8285004309,,,charging_station,,,2,,yes,,,,Transvision,,,2,,,,,,,,Transvision CCS snelladers,,,,,,,,yes,,,,,,,,yes,,,,,300,,,,255,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.4024019,4.8414041,,Point,,node/8285004310,,,charging_station,,,2,,yes,,,,Transvision,,,2,,,,,,,,Transvision CCS snelladers,,,,,,,,yes,,,,,,,,yes,,,,,300,,,,255,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.402445,4.8414423,,Point,,node/8285004311,,,charging_station,,,2,,yes,,,,Transvision,,,2,,,,,,,,Transvision CCS snelladers,,,,,,,,yes,,,,,,,,yes,,,,,300,,,,255,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.4025086,4.8415526,,Point,,node/8285004312,,,charging_station,,,2,,yes,,,,Transvision,,,2,,,,,,,,Transvision CCS snelladers,,,,,,,,yes,,,,,,,,yes,,,,,300,,,,255,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4362219,5.4230985,,Point,,node/8287449975,,Noord Brabantlaan,charging_station,,,2,,yes,,,,Allego,,,1,50 kW,Eindhoven,350,5657GA,,,,,Q75560554,,,1,50 kW,,,yes,,1,,,,,,,,,,43 kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5013892,5.4162257,,Point,,node/8287449977,,N.C.B.-weg,charging_station,,,6,,yes,,,,Ecotap,,,3,120 kW,Best,4,5681RH,,,,Ecotap Best,Q123249354,,,3,50 kW,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0513991,5.5538704,,Point,,node/8432185489,,,charging_station,,,,,yes,,,24/7,Fastned,,,4,300 kW,,,,,50138,,Fastned Laerd,Q19935749,,yes,2,50 kW,Fastned,Q19935749,yes,,,https://fastnedcharging.com/nl/locaties;Fastned (OCPI),2022-06-07,,,yes,yes,,,,,,,,,,,,,,,,,https://fastnedcharging.com/nl/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.322189,5.084259,,Point,,node/8474966415,,,charging_station,,,6,,yes,,,24/7,Fastned,,,6,300 kW,,,,,50101,,Fastned Hackelaar,Q19935749,,yes,2,50 kW,Fastned,Q19935749,yes,,,https://fastnedcharging.com/nl/locaties;Fastned (OCPI),2022-06-07,,,yes,yes,,,,,,,,,,,,,,,,,https://fastnedcharging.com/nl/,,,,,,,,,,yes,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,
51.4044262,5.8108698,,Point,,node/8522099153,,,charging_station,,,,,yes,,,24/7,Fastned,,,4,300 kW,,,,,50137,,Fastned Het Gevlocht,Q19935749,,yes,2,50 kW,Fastned,Q19935749,yes,,,https://fastnedcharging.com/nl/locaties,2022-06-07,,,yes,yes,,,,,,,,,,,,,,,,,https://fastnedcharging.com/nl/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.4342178,5.4506102,,Point,,node/8522099154,,,charging_station,,,4,,yes,,,24/7,Fastned,,,6,50 kW,,,,,50105,,Fastned Limburglaan (Albert Heijn),Q19935749,,,6,50 kW,Fastned,Q19935749,yes,,,https://fastnedcharging.com/nl/locaties;Fastned (OCPI),2022-06-07,,,yes,yes,,,,,,,,,,,,,,,,,https://fastnedcharging.com/nl/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.3241088,5.2227783,,Point,,node/8522099155,,,charging_station,,,,,yes,,,24/7,Fastned,,,4,300 kW,,,,,50109,,Fastned De Beerze,Q19935749,,yes,2,50 kW,Fastned,Q19935749,yes,,,,,,,yes,yes,,,,,,,,,,,,,,,,,https://fastnedcharging.com/nl,,,,,,,,,,,,,https://nl.chargemap.com/gepland-fastned-de-beerze-a67-bladel.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.3215685,5.2195591,,Point,,node/8522099156,,,charging_station,,,,,yes,,,24/7,Fastned,,,4,300 kW,,,,,50110,,Fastned Het Goor,Q19935749,,yes,2,50 kW,Fastned,Q19935749,yes,,,https://fastnedcharging.com/nl/locaties,2022-06-07,,,yes,yes,,,,,,,,,,,,,,,,,https://fastnedcharging.com/nl/,,,,,,,,,,,,,https://nl.chargemap.com/fastned-het-goor-bladel.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.8965439,4.5389289,,Point,,node/8522369655,,,charging_station,,,,,yes,,,24/7,Fastned,,,4,300 kW,,,,,50108,,Fastned Stadionweg,Q19935749,,,2,50 kW,Fastned,Q19935749,yes,,,https://fastnedcharging.com/nl/locaties;Fastned (OCPI),2022-06-07,,,yes,yes,,,,,,,,,,,,,,,,,https://fastnedcharging.com/nl/,,,,,,,,,,,,,,en:Fastned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0498978,5.1222555,,Point,,node/8522460603,,,charging_station,,,,,yes,,,24/7,Fastned,,,1; 3,50 kW; 175 kW,,,,,50102,,Fastned Ravensewetering,Q19935749,,,1,50 kW,Fastned,Q19935749,yes,,,https://fastnedcharging.com/nl/locaties;Fastned (OCPI),2022-06-07,,,yes,yes,,,,,,,,,,,,,,,,,https://fastnedcharging.com/nl/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.2920039,4.9453787,,Point,,node/8526148965,,,charging_station,,,10,,yes,,,24/7,Fastned,,,10,300 kW,,,,,50106,,Fastned Tafelbergweg,Q19935749,,,4,50 kW,Fastned,Q19935749,yes,,,https://fastnedcharging.com/nl/locaties;Fastned (OCPI),2022-06-07,,,yes,yes,,,,,,,,,,,,,,,,,https://fastnedcharging.com/nl/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.3630923,5.7678238,,Point,,node/8526230925,,,charging_station,,,4,,yes,,,24/7,Fastned,,,4,175 kW,,,,,50103,,Fastned Hendriksbos,Q19935749,,yes,1,50 kW,Fastned,Q19935749,yes,,,https://fastnedcharging.com/nl/locaties;Fastned (OCPI),2022-06-07,,,yes,yes,,,,,,,,,,,,yes,,,,,https://fastnedcharging.com/nl/,,,,,,,,,,,,,,nl:Fastned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.3606459,5.7670366,,Point,,node/8526230926,,,charging_station,,,,,yes,,,24/7,Fastned,,,4,175,,,,,50104,,Fastned Willemsbos,Q19935749,,yes,1,50 kW,Fastned,Q19935749,yes,,,https://fastnedcharging.com/nl/locaties,2022-06-07,,,yes,yes,,,,,,,,,,,,,,,,,https://fastnedcharging.com/nl/,,,,,,,,,,,,,,nl:Fastned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0291476,6.0205496,,Point,,node/8526348190,,,charging_station,,,,,yes,,,24/7,Fastned,,,2,50 kW,,,,,31113,,Fastned De Wâlden,Q19935749,,yes,2,50 kW,Fastned,Q19935749,yes,,2,https://fastnedcharging.com/nl/locaties;Fastned (OCPI),2022-06-07,,,yes,yes,,,,43 kW,,,,,,,,,,,,,https://fastnedcharging.com/nl/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.5037299,4.9367912,,Point,,node/8568788250,,,charging_station,,,4,,,,,,Shell,,,4,,,,,,,,,Q110716465,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en:Royal Dutch Shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.1058268,4.3597587,,Point,,node/8652198735,yes,,charging_station,,,2,,yes,,,,Allego,,,2,150 kW,,,,yes,NLALLEGO015143,,,Q75560554,,,,,,,yes,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.1057871,4.3597021,,Point,,node/8652198736,yes,,charging_station,,,2,,yes,,,,Allego,,,2,150 kW,,,,yes,NLALLEGO015142,,,Q75560554,,,,,,,yes,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.1057524,4.3596455,,Point,,node/8652198737,yes,,charging_station,,,2,,yes,,,,Allego,,,2,300 kW,,,,yes,NLALLEGO015050,,,Q75560554,,,,,,,yes,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.1057184,4.3595904,,Point,,node/8652198738,yes,,charging_station,,,2,,yes,,,,Allego,,,2,300 kW,,,,yes,NLALLEGO015051,,,Q75560554,,,,,,,yes,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.1995701,6.8638435,,Point,,node/8730336487,,,charging_station,,,2,,yes,,,24/7,New Motion,,,2,175 kW,,,,,,,,,,,2,70 kW,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5299657,3.8210783,,Point,,node/9002388617,,,charging_station,,,2,,yes,,,,,,,,,,,,,,,,,,,,,,,yes,,2,,,,,,,,,,,32,,,,400,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.660144,4.8247965,,Point,,node/9008195911,,,charging_station,,,2,,yes,,,24/7,TotalEnergies,,,,,,,,,PP002848,,,Q154037,,,,,TotalEnergies,Q154037,yes,,,,,,,yes,yes,,,,,32,,,,400,,,,,,,,,,,,,,,,,,,,,,nl:TotalEnergies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.6058857,6.3864823,,Point,,node/9034241064,,,charging_station,,,2,,,,,24/7,,,,,,,,,,,,,,,,,,,,yes,,2,,,,,,,,,,,32,,,,400,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0091386,4.3121669,,Point,,node/9093755447,,,charging_station,,,6,,yes,,,24/7,Fastned,,,4,300 kW,,,,,50430,,Fastned Peulwijk-Oost,Q19935749,,yes,2,50 kW,Fastned,Q19935749,yes,,,https://fastnedcharging.com/nl/locaties,2022-06-07,,,yes,yes,,,,,,,,,,,,yes,,,,,https://fastnedcharging.com/nl/,,,,,,,,,,,,,,en:Fastned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.082677,5.816161,,Point,,node/9144077294,,,charging_station,,,2,,yes,,,24/7,Vattenfall,,,,,,,,,,,,,,,,,,,yes,,2,,,,,,yes,,,,,16,,,,400,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0368459,4.3361146,,Point,,node/9246281012,yes,,charging_station,,,2,,,,,,Vattenfall InCharge,,,1,,,,,,,,,,,,1,,,,,,1,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5823267,4.7308836,,Point,,node/9249085513,yes,,charging_station,,,2,,yes,,,24/7,Vattenfall InCharge,,,1,50 kWh,,,,,,,Vattenfall InCharge,Q71041027,,,1,50 kWh,Vattenfall InCharge,Q71041027,yes,,1,,,,,yes,,,,,43 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
